2022-04-29T05-13-54,34292,Pharmacy 2427,NLP,NLP,NLP,0,03/22/2022 12:00:00 AM
2022-04-30T05-15-55,34292,CVS Store #04266,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,34292,CVS Store #01120,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,34292,CVS Store #04266,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,34292,CVS Store #01120,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,34292,CVS Store #04266,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,34292,CVS Store #01120,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,34292,CVS Store #04266,NLP,NLP,NLP,15,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,34292,CVS Store #01120,NLP,NLP,NLP,15,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,34292,CVS Store #04266,NLP,NLP,NLP,14,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,34292,CVS Store #01120,NLP,NLP,NLP,14,05/03/2022 12:00:00 AM
