2022-05-17T05-27-38,35504,Walgreens Store #09683,NLP,NLP,NLP,19,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,35504,WALGREENS STORE #09683,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35504,WALGREENS STORE #09683,NLP,NLP,NLP,58,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35504,WALGREENS STORE #09683,NLP,NLP,NLP,77,05/23/2022 12:00:00 AM
