2022-03-08T14-40-56,37760,Walmart Pharmacy #724,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,37760,Walmart Pharmacy #724,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,37760,Walmart Pharmacy #724,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,37760,Walmart Pharmacy #724,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,37760,Walmart Pharmacy #724,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,37760,Walmart Pharmacy #724,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,37760,Walmart Pharmacy #724,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,37760,Walmart Pharmacy #724,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,37760,Walmart Pharmacy #724,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,37760,Walmart Pharmacy #724,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
