2022-02-16T08-23-53,85256,Salt River Integrated Health Care,01/27/2022 12:00:00 AM,,0,10,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,85256,Salt River Integrated Health Care,02/25/2022 12:00:00 AM,,20,10,02/15/2022 12:00:00 AM
2022-03-03T10-04-44,85256,Salt River Integrated Health Care,02/25/2022 12:00:00 AM,,20,10,02/15/2022 12:00:00 AM
2022-03-08T14-40-56,85256,Salt River Integrated Health Care,02/25/2022 12:00:00 AM,,20,30,03/03/2022 12:00:00 AM
2022-03-21T16-35-27,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-25T08-10-53,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-26T06-57-27,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-26T12-42-50,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-27T06-25-27,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-28T06-21-17,85256,River People Health Center (RPHC),NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
