2022-03-08T14-40-56,96743,Queens North Hawaii COVID,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-04-15T06-03-51,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,60,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,58,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,58,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,58,04/16/2022 12:00:00 AM
2022-04-19T05-39-24,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,56,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,56,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,54,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,52,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,52,04/23/2022 12:00:00 AM
2022-04-25T05-22-33,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,52,04/23/2022 12:00:00 AM
2022-04-26T05-20-54,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,44,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,44,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,36,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,36,04/30/2022 12:00:00 AM
2022-05-02T06-02-50,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,36,04/30/2022 12:00:00 AM
2022-05-03T06-05-23,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,30,05/03/2022 12:00:00 AM
2022-05-03T06-05-23,96743,CVS Store #02406,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,29,05/04/2022 12:00:00 AM
2022-05-04T05-12-02,96743,CVS Store #02406,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,28,05/05/2022 12:00:00 AM
2022-05-05T09-49-47,96743,CVS Store #02406,NLP,NLP,NLP,20,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,23,05/06/2022 12:00:00 AM
2022-05-06T06-12-41,96743,CVS Store #02406,NLP,NLP,NLP,20,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,18,05/07/2022 12:00:00 AM
2022-05-07T05-45-31,96743,CVS Store #02406,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,18,05/07/2022 12:00:00 AM
2022-05-08T10-02-59,96743,CVS Store #02406,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,18,05/07/2022 12:00:00 AM
2022-05-09T05-08-14,96743,CVS Store #02406,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,16,05/10/2022 12:00:00 AM
2022-05-10T06-06-54,96743,CVS Store #02406,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,15,05/11/2022 12:00:00 AM
2022-05-11T06-51-12,96743,CVS Store #02406,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,12,05/12/2022 12:00:00 AM
2022-05-12T07-16-49,96743,CVS Store #02406,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,12,05/13/2022 12:00:00 AM
2022-05-13T06-07-31,96743,CVS Store #02406,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,12,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,96743,CVS Store #02406,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,12,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,96743,CVS Store #02406,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,12,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,96743,CVS Store #02406,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,64,05/17/2022 12:00:00 AM
2022-05-17T05-27-38,96743,CVS Store #02406,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,62,05/18/2022 12:00:00 AM
2022-05-18T05-40-23,96743,CVS Store #02406,NLP,NLP,NLP,13,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,60,05/19/2022 12:00:00 AM
2022-05-19T05-25-31,96743,CVS Store #02406,NLP,NLP,NLP,12,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,60,05/19/2022 12:00:00 AM
2022-05-20T05-59-40,96743,CVS Store #02406,NLP,NLP,NLP,12,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-21T05-54-21,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96743,KTA Kamuela Pharmacy,NLP,NLP,NLP,55,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,96743,CVS Store #02406,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
