2022-02-10T21-04-53,97015,Kaiser Permanente - Mt Talbert,01/14/2022 12:00:00 AM,,0,4,02/09/2022 12:00:00 AM
2022-02-14T09-23-55,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,,20,11,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,,20,11,02/11/2022 12:00:00 AM
2022-02-16T08-11-48,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,,20,11,02/11/2022 12:00:00 AM
2022-02-16T08-23-53,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,,20,9,02/14/2022 12:00:00 AM
2022-02-16T18-37-01,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,9,02/14/2022 12:00:00 AM
2022-02-18T15-54-16,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,29,02/16/2022 12:00:00 AM
2022-02-18T16-04-21,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,28,02/18/2022 12:00:00 AM
2022-02-22T09-09-37,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,28,02/18/2022 12:00:00 AM
2022-02-24T09-51-18,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,28,02/21/2022 12:00:00 AM
2022-03-03T09-56-49,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,27,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,26,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,97015,Kaiser Permanente - Mt Talbert,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,26,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,23,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,23,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,23,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,23,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,23,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,22,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,22,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,22,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,22,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,22,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,22,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,22,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,22,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,21,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,97015,Walgreens Store #15927,NLP,NLP,NLP,80,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,13,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,97015,Walgreens Store #15927,NLP,NLP,NLP,79,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,12,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,97015,Walgreens Store #15927,NLP,NLP,NLP,79,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,12,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,97015,Walgreens Store #15927,NLP,NLP,NLP,79,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,12,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,97015,Walgreens Store #15927,NLP,NLP,NLP,78,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,11,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,97015,Walgreens Store #15927,NLP,NLP,NLP,50,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,97015,CVS Store #16127,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,11,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,97015,Walgreens Store #15927,NLP,NLP,NLP,50,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,97015,CVS Store #16127,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,97015,Kaiser Permanente - Mt Talbert,NLP,NLP,NLP,11,04/06/2022 12:00:00 AM
