Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address
Walgreens Store #07520,429 AVE BARBOSA,,SAN JUAN,San Juan,PR,923,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,,20,15,01/06/2022 12:00:00 AM,
Walmart Pharmacy #521,2500 N MLK Hwy,,Lake Charles,CALCASIEU,LA,70601,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,
CVS Store #08784,8116 S LAS VEGAS BLVD,CVS Pharmacy,LAS VEGAS,CLARK,NV,89123,0006-5055-06,Molnupiravir,01/05/2022 12:00:00 AM,,20,,,
ISLAND DRUG,32170 SR 20,,Oak Harbor,ISLAND,WA,98277,0069-1085-30,Paxlovid,12/30/2021 12:00:00 AM,,20,,,
Gothams - Holyoke,361 Whitney Ave,,Holyoke,HAMPDEN,MA,1040,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,20,,,POINT (-72.646459 42.168693)
MOAB REGIONAL HOSPITAL,450 WILLIAMS WAY,,MOAB,GRAND,UT,84532,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,20,01/05/2022 12:00:00 AM,POINT (-109.559563 38.574309)
RANDALLS PHARMACY,10228 BROADWAY ST,,Pearland,BRAZORIA,TX,77584,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,,20,,,POINT (-95.378601 29.554662)
Walgreens Store #18124,9501 STAPLES MILL RD,,RICHMOND,HENRICO,VA,23228,0006-5055-06,Molnupiravir,01/03/2022 12:00:00 AM,,40,0,01/06/2022 12:00:00 AM,POINT (-77.517635 37.644136)
Meijer Store 123,16300 Fort Street,,Southgate,WAYNE,MI,48195,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,,POINT (-83.182908 42.189518)
Walgreens Store #00183,4210 CARR 693,,DORADO,Dorado,PR,646,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,18,01/06/2022 12:00:00 AM,
Rite Aid 06003,1830 MITCHELL ROAD,,CERES,STANISLAUS,CA,95307-2824,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,20,20,01/06/2022 12:00:00 AM,POINT (-120.938662 37.602644)
Neighborhood Pharmacy,140B Estate St. George Rd.,,Frederiksted,SAINT CROIX,VI,840,0069-1085-30,Paxlovid,12/29/2021 12:00:00 AM,,20,,,
SAV-ON PHARMACY,8851 E TRENT AVE,,Spokane Valley,SPOKANE,WA,99212,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-117.285188 47.680607)
Walmart Pharmacy #3623,4401 HIGHWAY 83 SOUTH,,LAREDO,WEBB,TX,78046,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,
Walmart Pharmacy #1275,2440 N Lebanon St,,Lebanon,BOONE,IN,46052,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,,,POINT (-86.47414 40.072357)
GRETNA DRUG COMPANY INC,108 VADEN DR,,GRETNA,PITTSYLVANIA,VA,24557,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,,POINT (-79.364686 36.94749)
