2022-06-17T04-15-27,60647,WALGREENS STORE #15065,NLP,NLP,NLP,,
2022-06-18T04-15-18,60647,WALGREENS STORE #01310,NLP,NLP,NLP,10,06/17/2022 12:00:00 AM
2022-06-18T04-15-18,60647,WALGREENS STORE #07687,NLP,NLP,NLP,3,06/17/2022 12:00:00 AM
2022-06-18T04-15-18,60647,CVS Store #16361,NLP,NLP,NLP,,
2022-06-18T04-15-18,60647,WALGREENS STORE #02877,NLP,NLP,NLP,10,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,60647,WALGREENS STORE #01310,NLP,NLP,NLP,10,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,60647,CVS Store #16361,NLP,NLP,NLP,,
2022-06-19T04-15-29,60647,WALGREENS STORE #07687,NLP,NLP,NLP,3,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,60647,WALGREENS STORE #02877,NLP,NLP,NLP,10,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,60647,WALGREENS STORE #07687,NLP,NLP,NLP,3,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,60647,CVS Store #16361,NLP,NLP,NLP,,
2022-06-20T04-15-58,60647,WALGREENS STORE #01310,NLP,NLP,NLP,10,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,60647,WALGREENS STORE #02877,NLP,NLP,NLP,10,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,60647,WALGREENS STORE #07687,NLP,NLP,NLP,8,06/20/2022 12:00:00 AM
2022-06-21T04-15-35,60647,CVS Store #16361,NLP,NLP,NLP,,
2022-06-21T04-15-35,60647,WALGREENS STORE #02877,NLP,NLP,NLP,10,06/20/2022 12:00:00 AM
2022-06-21T04-15-35,60647,WALGREENS STORE #01310,NLP,NLP,NLP,10,06/20/2022 12:00:00 AM
2022-06-21T04-15-35,60647,WALGREENS STORE #09000,NLP,NLP,NLP,4,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,60647,WALGREENS STORE #02877,NLP,NLP,NLP,10,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,60647,WALGREENS STORE #07687,NLP,NLP,NLP,8,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,60647,WALGREENS STORE #09000,NLP,NLP,NLP,4,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,60647,CVS Store #16361,NLP,NLP,NLP,,
2022-06-22T04-15-20,60647,WALGREENS STORE #01310,NLP,NLP,NLP,10,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,60647,WALGREENS STORE #07687,NLP,NLP,NLP,8,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,60647,WALGREENS STORE #09000,NLP,NLP,NLP,4,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,60647,WALGREENS STORE #01310,NLP,NLP,NLP,10,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,60647,WALGREENS STORE #02877,NLP,NLP,NLP,10,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,60647,CVS Store #16361,NLP,NLP,NLP,5,06/22/2022 12:00:00 AM
2022-06-23T04-15-16,60647,CVS Store #08735,NLP,NLP,NLP,4,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,60647,WALGREENS STORE #07687,NLP,NLP,NLP,8,06/23/2022 12:00:00 AM
2022-06-24T04-15-26,60647,CVS Store #16361,NLP,NLP,NLP,5,06/23/2022 12:00:00 AM
2022-06-24T04-15-26,60647,WALGREENS STORE #09000,NLP,NLP,NLP,4,06/23/2022 12:00:00 AM
2022-06-24T04-15-26,60647,CVS Store #08735,NLP,NLP,NLP,4,06/23/2022 12:00:00 AM
2022-06-24T04-15-26,60647,WALGREENS STORE #01310,NLP,NLP,NLP,10,06/23/2022 12:00:00 AM
2022-06-24T04-15-26,60647,WALGREENS STORE #02877,NLP,NLP,NLP,10,06/23/2022 12:00:00 AM
