2022-02-18T16-04-21,01230,FAIRVIEW HOSPITAL,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,01230,FAIRVIEW HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,01230,FAIRVIEW HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,01230,FAIRVIEW HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,01230,FAIRVIEW HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,01230,FAIRVIEW HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,01230,FAIRVIEW HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,01230,FAIRVIEW HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,01230,FAIRVIEW HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,01230,FAIRVIEW HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,01230,FAIRVIEW HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,01230,FAIRVIEW HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,01230,FAIRVIEW HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
