2022-02-18T16-04-21,01852,Gothams - Lowell,02/17/2022 12:00:00 AM,,54,,
2022-03-03T09-56-49,01852,Gothams - Lowell,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,78,,
2022-03-03T10-04-44,01852,Gothams - Lowell,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,01852,Gothams - Lowell,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,78,,
2022-03-16T18-51-35,01852,Gotham - Lowell,NLP,NLP,NLP,98,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,01852,Gotham - Lowell,NLP,NLP,NLP,98,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,01852,Gotham - Lowell,NLP,NLP,NLP,98,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,01852,Gotham - Lowell,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,01852,Gotham - Lowell,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,01852,Gotham - Lowell,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,01852,Gotham - Lowell,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,01852,Gotham - Lowell,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,01852,Gotham - Lowell,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,01852,Gotham - Lowell,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,01852,Gotham - Lowell,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
