2022-02-18T16-04-21,02149,Gothams - Everett,02/17/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,02149,Gothams - Everett,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-03T10-04-44,02149,Gothams - Everett,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-08T14-40-56,02149,Gothams - Everett,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-16T18-51-35,02149,Gotham - Everett,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,02149,Gotham - Everett,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,02149,Gotham - Everett,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,02149,Gotham - Everett,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,02149,Gotham - Everett,NLP,NLP,NLP,17,03/23/2022 12:00:00 AM
