2022-02-18T16-04-21,02886,ALERT AMBULANCE SERVICE,02/16/2022 12:00:00 AM,,120,,
2022-03-03T09-56-49,02886,ALERT AMBULANCE SERVICE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,198,,
2022-03-03T10-04-44,02886,ALERT AMBULANCE SERVICE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,198,,
2022-03-08T14-40-56,02886,ALERT AMBULANCE SERVICE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,198,,
2022-03-16T18-51-35,02886,"Alert Ambulance Service, Inc.",NLP,NLP,NLP,557,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,02886,KENT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,02886,"Alert Ambulance Service, Inc.",NLP,NLP,NLP,557,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,02886,KENT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,02886,"Alert Ambulance Service, Inc.",NLP,NLP,NLP,557,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,02886,KENT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,02886,KENT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,02886,"Alert Ambulance Service, Inc.",NLP,NLP,NLP,534,03/16/2022 12:00:00 AM
