2022-02-18T16-04-21,03909,YORK HOSPITAL,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,03909,YORK HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,03909,YORK HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,03909,YORK HOSPITAL,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,03909,YORK HOSPITAL,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,03909,YORK HOSPITAL,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,03909,YORK HOSPITAL,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,03909,YORK HOSPITAL,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,03909,YORK HOSPITAL,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,03909,YORK HOSPITAL,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,03909,YORK HOSPITAL,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,03909,YORK HOSPITAL,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,03909,YORK HOSPITAL,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,03909,YORK HOSPITAL,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,03909,YORK HOSPITAL,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
