2022-02-18T16-04-21,05701,RUTLAND REGIONAL MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,05701,RUTLAND REGIONAL MEDICAL CENTER,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,05701,RUTLAND REGIONAL MEDICAL CENTER,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,05701,RUTLAND REGIONAL MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,05701,RUTLAND REGIONAL MEDICAL CENTER,NLP,NLP,NLP,79,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,05701,RUTLAND REGIONAL MEDICAL CENTER,NLP,NLP,NLP,79,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,05701,RUTLAND REGIONAL MEDICAL CENTER,NLP,NLP,NLP,79,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,05701,RUTLAND REGIONAL MEDICAL CENTER,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,05701,RUTLAND REGIONAL MEDICAL CENTER,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,05701,RUTLAND REGIONAL MEDICAL CENTER,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,05701,RUTLAND REGIONAL MEDICAL CENTER,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,05701,RUTLAND REGIONAL MEDICAL CENTER,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,05701,RUTLAND REGIONAL MEDICAL CENTER,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
