2022-02-18T16-04-21,11572,MOUNT SINAI HOSP SO NASSAU,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,11572,MOUNT SINAI HOSP SO NASSAU,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,11572,MOUNT SINAI HOSP SO NASSAU,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,11572,MOUNT SINAI HOSP SO NASSAU,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,11572,MOUNT SINAI SOUTH NASSAU,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,11572,MOUNT SINAI SOUTH NASSAU,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,11572,MOUNT SINAI SOUTH NASSAU,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,11572,MOUNT SINAI SOUTH NASSAU,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,11572,MOUNT SINAI SOUTH NASSAU,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,11572,MOUNT SINAI SOUTH NASSAU,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,11572,MOUNT SINAI SOUTH NASSAU,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
