2022-02-18T16-04-21,11714,St Joseph Hospital,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,11714,St Joseph Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,11714,St Joseph Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,11714,St Joseph Hospital,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,11714,ST JOSEPH HOSPITAL,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,11714,ST JOSEPH HOSPITAL,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,11714,ST JOSEPH HOSPITAL,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,11714,ST JOSEPH HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,11714,ST JOSEPH HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,11714,ST JOSEPH HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,11714,ST JOSEPH HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,11714,ST JOSEPH HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
