2022-02-18T16-04-21,15370,Washington Health System - Greene,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,15370,Washington Health System - Greene,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,15370,Washington Health System - Greene,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,15370,Washington Health System - Greene,03/07/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,15370,WASHINGTON HEALTH SYSTEM GREENE,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
