2022-02-18T16-04-21,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
