2022-02-18T16-04-21,17602,LGH-LANCASTER GENERAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,17602,LGH-LANCASTER GENERAL HOSPITAL,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,17602,LGH-LANCASTER GENERAL HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,17602,LGH-LANCASTER GENERAL HOSPITAL,03/07/2022 12:00:00 AM,03/01/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,17602,LANCASTER GENERAL HOSPITAL,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
