2022-02-18T16-04-21,18015,SLUHHN-BETHLEHEM,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,18015,SLUHHN-BETHLEHEM,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,312,,
2022-03-03T10-04-44,18015,SLUHHN-BETHLEHEM,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,312,,
2022-03-08T14-40-56,18015,SLUHHN-BETHLEHEM,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,312,,
2022-03-16T18-51-35,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,388,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,388,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,388,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,18015,ST LUKE'S HOSPITAL BETHLEHEM,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
