2022-02-18T16-04-21,18433,Wright Center for Community Health,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,18433,Wright Center for Community Health,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,18433,Wright Center for Community Health,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,18433,Wright Center for Community Health,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,28,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,28,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,28,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,18433,WRIGHT CENTER FOR COMMUNITY HEALTH,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
