2022-02-18T16-04-21,19140,HN0040 - TUHS - MAIN HOSP,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,19140,HN0040 - TUHS - MAIN HOSP,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,19140,HN0040 - TUHS - MAIN HOSP,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,19140,HN0040 - TUHS - MAIN HOSP,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,19140,TEMPLE UNIVERSITY HOSPITAL,NLP,NLP,NLP,72,03/16/2022 12:00:00 AM
