2022-02-18T16-04-21,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,02/17/2022 12:00:00 AM,,54,,
2022-03-03T09-56-49,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,144,,
2022-03-03T10-04-44,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,144,,
2022-03-08T14-40-56,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,198,,
2022-03-16T18-51-35,20010,CHILDREN'S NATIONAL HOSPITAL,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,383,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,383,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,20010,CHILDREN'S NATIONAL HOSPITAL,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,383,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,20010,CHILDREN'S NATIONAL HOSPITAL,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,20010,CHILDREN'S NATIONAL HOSPITAL,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,429,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,20010,CHILDREN'S NATIONAL HOSPITAL,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,429,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,20010,CHILDREN'S NATIONAL HOSPITAL,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,429,03/16/2022 12:00:00 AM
