2022-02-18T16-04-21,20166,MED SA-1 Vaccine Distro,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,120,,
2022-03-03T09-56-49,20166,MED SA-1 Vaccine Distro,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,168,,
2022-03-03T10-04-44,20166,MED SA-1 Vaccine Distro,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,168,,
2022-03-08T14-40-56,20166,MED SA-1 Vaccine Distro,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,168,,
2022-03-16T18-51-35,20166,STONESPRINGS HOSPITAL CENTER,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,20166,STONESPRINGS HOSPITAL CENTER,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,20166,STONESPRINGS HOSPITAL CENTER,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,20166,STONESPRINGS HOSPITAL CENTER,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,20166,STONESPRINGS HOSPITAL CENTER,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,20166,STONESPRINGS HOSPITAL CENTER,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,20166,STONESPRINGS HOSPITAL CENTER,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
