2022-02-18T16-04-21,21287,JOHNS HOPKINS HOSPITAL,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,21287,JOHNS HOPKINS HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,120,,
2022-03-03T10-04-44,21287,JOHNS HOPKINS HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,21287,JOHNS HOPKINS HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,156,,
2022-03-18T09-58-11,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,173,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,173,03/09/2022 12:00:00 AM
2022-03-23T08-41-43,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,171,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,171,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,171,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,166,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,166,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,166,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,166,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,166,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,166,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,166,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,21287,"JOHNS HOPKINS HOSPITAL, THE",NLP,NLP,NLP,166,03/23/2022 12:00:00 AM
