2022-02-18T16-04-21,21502,UPMC WESTERN MARYLAND (WMRMC),02/17/2022 12:00:00 AM,,54,,
2022-03-03T09-56-49,21502,UPMC WESTERN MARYLAND (WMRMC),02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,90,,
2022-03-03T10-04-44,21502,UPMC WESTERN MARYLAND (WMRMC),02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,90,,
2022-03-08T14-40-56,21502,UPMC WESTERN MARYLAND (WMRMC),03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,114,,
2022-03-16T18-51-35,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,66,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,66,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,66,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,21502,U P M C WESTERN MARYLAND,NLP,NLP,NLP,114,03/16/2022 12:00:00 AM
