2022-02-18T16-04-21,24014,CARILION ROANOKE MEM HOSP,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,90,,
2022-03-03T09-56-49,24014,CARILION ROANOKE MEM HOSP,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,156,,
2022-03-03T10-04-44,24014,CARILION ROANOKE MEM HOSP,03/01/2022 12:00:00 AM,02/24/2022 12:00:00 AM,210,,
2022-03-08T14-40-56,24014,CARILION ROANOKE MEM HOSP,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,210,,
2022-03-16T18-51-35,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,24014,CARILION ROANOKE MEMORIAL HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
