2022-02-18T16-04-21,24924,POCAHONTAS MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,24924,POCAHONTAS MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,24924,POCAHONTAS MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,24924,POCAHONTAS MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-19T11-58-02,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
