2022-02-18T16-04-21,24970,GREENBRIER VALLEY MED CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,24970,GREENBRIER VALLEY MED CENTER,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,24970,GREENBRIER VALLEY MED CENTER,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,24970,GREENBRIER VALLEY MED CENTER,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-23T08-41-43,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,8,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,8,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,8,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,8,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,8,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,8,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,24970,GREENBRIER VALLEY MEDICAL CENTER,NLP,NLP,NLP,8,03/30/2022 12:00:00 AM
