2022-02-18T16-04-21,28352,SCOTLAND MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,28352,SCOTLAND MEMORIAL HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,28352,SCOTLAND MEMORIAL HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,28352,SCOTLAND MEMORIAL HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,28352,SCOTLAND MEMORIAL HOSPITAL,NLP,NLP,NLP,46,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,28352,SCOTLAND MEMORIAL HOSPITAL,NLP,NLP,NLP,46,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,28352,SCOTLAND MEMORIAL HOSPITAL,NLP,NLP,NLP,46,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,28352,SCOTLAND MEMORIAL HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,28352,SCOTLAND MEMORIAL HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,28352,SCOTLAND MEMORIAL HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,28352,SCOTLAND MEMORIAL HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,28352,SCOTLAND MEMORIAL HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,28352,SCOTLAND MEMORIAL HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
