2022-02-18T16-04-21,28722,SAINT LUKES HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,28722,SAINT LUKES HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,28722,SAINT LUKES HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,28722,SAINT LUKES HOSPITAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,90,,
2022-03-16T18-51-35,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,28722,ST LUKES HOSPITAL,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
