2022-03-03T09-56-49,30540,MAINSTREET FAMILY CARE,02/23/2022 12:00:00 AM,,24,,
2022-03-03T10-04-44,30540,MAINSTREET FAMILY CARE,03/02/2022 12:00:00 AM,,48,,
2022-03-08T14-40-56,30540,MAINSTREET FAMILY CARE,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,48,,
2022-03-24T13-46-29,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,95,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,95,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,95,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,95,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,95,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,30540,MainStreet Family Care - East Ellijay,NLP,NLP,NLP,95,03/30/2022 12:00:00 AM
