2022-03-03T09-56-49,31539,MAINSTREET FAMILY CARE - HAZELHURST,02/23/2022 12:00:00 AM,,24,,
2022-03-03T10-04-44,31539,MAINSTREET FAMILY CARE - HAZELHURST,03/02/2022 12:00:00 AM,,48,,
2022-03-08T14-40-56,31539,MAINSTREET FAMILY CARE - HAZELHURST,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,31539,Jeff Davis Hospital,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,31539,Jeff Davis Hospital,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,31539,Jeff Davis Hospital,NLP,NLP,NLP,39,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,31539,JEFF DAVIS HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
