2022-03-03T09-56-49,31620,SOUTHWELL MEDICAL,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,31620,SOUTHWELL MEDICAL,03/02/2022 12:00:00 AM,02/23/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,31620,SOUTHWELL MEDICAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,31620,Southwell Medical,NLP,NLP,NLP,127,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,31620,"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",NLP,NLP,NLP,127,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,31620,"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",NLP,NLP,NLP,127,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,31620,Southwell Medical,NLP,NLP,NLP,127,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,31620,"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",NLP,NLP,NLP,127,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,31620,Southwell Medical,NLP,NLP,NLP,127,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,31620,"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",NLP,NLP,NLP,124,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,31620,"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",NLP,NLP,NLP,124,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,31620,"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",NLP,NLP,NLP,124,03/16/2022 12:00:00 AM
