2022-02-18T16-04-21,32086,FLAGLER HOSPITAL INC,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,32086,FLAGLER HOSPITAL INC,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,32086,FLAGLER HOSPITAL INC,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,32086,Flagler Hospital Inc.,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32086,FLAGLER HOSPITAL,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
