2022-03-08T14-40-56,32428,NW FL Community Hospital,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,32428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
