2022-02-18T16-04-21,32561,GULFBREEZE HOSPITAL,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,32561,GULFBREEZE HOSPITAL,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,32561,GULFBREEZE HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,32561,Gulfbreeze Hospital,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,32561,GULF BREEZE HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32561,GULF BREEZE HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32561,GULF BREEZE HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32561,GULF BREEZE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32561,GULF BREEZE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32561,GULF BREEZE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32561,GULF BREEZE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32561,GULF BREEZE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
