2022-03-08T14-40-56,34135,Old Bonita Spring Library,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,264,,
2022-03-16T18-51-35,34135,Old Bonita Springs Library,NLP,NLP,NLP,301,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,34135,Old Bonita Springs Library,NLP,NLP,NLP,301,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,34135,Old Bonita Springs Library,NLP,NLP,NLP,301,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,34135,Old Bonita Springs Library,NLP,NLP,NLP,573,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,34135,Old Bonita Springs Library,NLP,NLP,NLP,544,03/23/2022 12:00:00 AM
