2022-02-18T16-04-21,35205,ASCENSION ST VINCENTS BIRMINGHAM,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,35205,ASCENSION ST VINCENTS BIRMINGHAM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,35205,ASCENSION ST VINCENTS BIRMINGHAM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,35205,ASCENSION ST VINCENTS BIRMINGHAM,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,35205,ST VINCENT'S BIRMINGHAM,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35205,ST VINCENT'S BIRMINGHAM,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35205,ST VINCENT'S BIRMINGHAM,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35205,ST VINCENT'S BIRMINGHAM,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35205,ST VINCENT'S BIRMINGHAM,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35205,ST VINCENT'S BIRMINGHAM,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35205,ST VINCENT'S BIRMINGHAM,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35205,ST VINCENT'S BIRMINGHAM,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,35205,ST VINCENT'S BIRMINGHAM,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
