2022-02-18T16-04-21,35243,FLEXCARE INFUSION CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,35243,FLEXCARE INFUSION CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,35243,FLEXCARE INFUSION CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,35243,FLEXCARE INFUSION CENTER,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,35243,GRANDVIEW MEDICAL CENTER,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,35243,GRANDVIEW MEDICAL CENTER,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,35243,FlexCare Infusion Center,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
