2022-03-08T14-40-56,35957,MARSHALL MEDICAL CENTER SOUTH,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,94,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,94,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,94,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,94,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,94,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,94,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,35957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,NLP,NLP,NLP,94,03/23/2022 12:00:00 AM
