2022-03-08T14-40-56,35989,NORTH DEKALB PRIMARY CARE,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,35989,North DeKalb Primary Care,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
