2022-03-08T14-40-56,36853,LAKE MARTIN COMMUNITY HOSPITAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
