2022-02-18T16-04-21,38801,North Mississippi Medical Center,02/16/2022 12:00:00 AM,,42,,
2022-03-03T09-56-49,38801,North Mississippi Medical Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,38801,North Mississippi Medical Center,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,114,,
2022-03-08T14-40-56,38801,North Mississippi Medical Center,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,114,,
2022-03-16T18-51-35,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,107,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,107,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,107,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,106,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,106,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,106,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,106,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,106,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,106,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,106,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,38801,NORTH MISSISSIPPI MEDICAL CENTER,NLP,NLP,NLP,106,03/16/2022 12:00:00 AM
