2022-02-18T16-04-21,39828,GRADY GENERAL HOSP,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,39828,GRADY GENERAL HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-03T09-56-49,39828,MAINSTREET FAMILY CARE -CAIRO,02/23/2022 12:00:00 AM,,24,,
2022-03-03T10-04-44,39828,GRADY GENERAL HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,39828,MAINSTREET FAMILY CARE -CAIRO,03/02/2022 12:00:00 AM,,48,,
2022-03-08T14-40-56,39828,GRADY GENERAL HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-08T14-40-56,39828,MAINSTREET FAMILY CARE -CAIRO,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,39828,Grady General Hospital,NLP,NLP,NLP,98,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,39828,Grady General Hospital,NLP,NLP,NLP,98,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,39828,Grady General Hospital,NLP,NLP,NLP,98,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,39828,MainStreet Family Care - Cairo,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,39828,GRADY GENERAL HOSPITAL,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,39828,MainStreet Family Care - Cairo,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,39828,GRADY GENERAL HOSPITAL,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
