2022-02-18T16-04-21,40391,CLARK REGIONAL MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,40391,CLARK REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,40391,CLARK REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,40391,CLARK REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,40391,CLARK REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
