2022-02-18T16-04-21,40741,SAINT JOSEPH - LONDON 100281,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,96,,
2022-03-03T09-56-49,40741,SAINT JOSEPH - LONDON 100281,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,192,,
2022-03-03T10-04-44,40741,SAINT JOSEPH - LONDON 100281,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,192,,
2022-03-08T14-40-56,40741,SAINT JOSEPH - LONDON 100281,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,192,,
2022-03-16T18-51-35,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,158,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,4,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,4,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,158,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,4,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,158,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,40741,CHI SAINT JOSEPH LONDON,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,40741,LAUREL HEIGHTS PHCY,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
