2022-02-18T16-04-21,42728,First Choice Immediate Care,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,42728,First Choice Immediate Care,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,42728,First Choice Immediate Care,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,66,,
2022-03-08T14-40-56,42728,First Choice Immediate Care,03/07/2022 12:00:00 AM,03/01/2022 12:00:00 AM,78,,
2022-03-16T18-51-35,42728,"Cumberland Family Medical Center, Inc./ First Choice Immediate Care",NLP,NLP,NLP,33,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,42728,"Cumberland Family Medical Center, Inc./ First Choice Immediate Care",NLP,NLP,NLP,33,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,42728,"Cumberland Family Medical Center, Inc./ First Choice Immediate Care",NLP,NLP,NLP,33,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,42728,"Cumberland Family Medical Center, Inc./ First Choice Immediate Care",NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,42728,"Cumberland Family Medical Center, Inc./ First Choice Immediate Care",NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,42728,"Cumberland Family Medical Center, Inc./ First Choice Immediate Care",NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,42728,"Cumberland Family Medical Center, Inc./ First Choice Immediate Care",NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,42728,"Cumberland Family Medical Center, Inc./ First Choice Immediate Care",NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,42728,"Cumberland Family Medical Center, Inc./ First Choice Immediate Care",NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
