2022-02-18T16-04-21,46237,FRANCISCAN HEALTH INDIANAPOLIS,02/16/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,46237,FRANCISCAN HEALTH INDIANAPOLIS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,46237,FRANCISCAN HEALTH INDIANAPOLIS,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,46237,FRANCISCAN HEALTH INDIANAPOLIS,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,46237,FRANCISCAN HEALTH INDIANAPOLIS,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,46237,FRANCISCAN HEALTH INDIANAPOLIS,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,46237,FRANCISCAN HEALTH INDIANAPOLIS,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,46237,FRANCISCAN HEALTH INDIANAPOLIS,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,46237,FRANCISCAN HEALTH INDIANAPOLIS,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,46237,FRANCISCAN HEALTH INDIANAPOLIS,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,46237,FRANCISCAN HEALTH INDIANAPOLIS,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,46237,FRANCISCAN HEALTH INDIANAPOLIS,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,46237,FRANCISCAN HEALTH INDIANAPOLIS,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
