2022-02-18T16-04-21,46260,ST VINCENT HOSPITAL AND HEALTH CARE,02/16/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,46260,ST VINCENT HOSPITAL AND HEALTH CARE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,46260,ST VINCENT HOSPITAL AND HEALTH CARE,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-08T14-40-56,46260,ST VINCENT HOSPITAL AND HEALTH CARE,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,66,,
2022-03-16T18-51-35,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,46260,Priority Physicians,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,46260,Priority Physicians,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,46260,Priority Physicians,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,46260,Priority Physicians,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,46260,Priority Physicians,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,46260,Priority Physicians,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,46260,Priority Physicians,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,46260,ASCENSION ST VINCENT HOSPITAL,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,46260,Priority Physicians,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
