2022-02-18T16-04-21,49519,University of Michigan Health-West,02/17/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,49519,University of Michigan Health-West,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,49519,University of Michigan Health-West,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,49519,University of Michigan Health-West,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,49519,UNIVERSITY OF MICHIGAN HEALTH - WEST,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,49519,UNIVERSITY OF MICHIGAN HEALTH - WEST,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,49519,UNIVERSITY OF MICHIGAN HEALTH - WEST,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,49519,UNIVERSITY OF MICHIGAN HEALTH - WEST,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,49519,UNIVERSITY OF MICHIGAN HEALTH - WEST,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,49519,UNIVERSITY OF MICHIGAN HEALTH - WEST,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,49519,UNIVERSITY OF MICHIGAN HEALTH - WEST,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,49519,UNIVERSITY OF MICHIGAN HEALTH - WEST,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,49519,UNIVERSITY OF MICHIGAN HEALTH - WEST,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
