2022-02-18T16-04-21,52402,ST LUKES HOSP-WOMENS - CHILD. CTR,02/16/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,52402,ST LUKES HOSP-WOMENS - CHILD. CTR,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,52402,ST LUKES HOSP-WOMENS - CHILD. CTR,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,52402,ST LUKES HOSP-WOMENS - CHILD. CTR,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,68,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,68,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,68,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,52402,ST LUKES HOSPITAL,NLP,NLP,NLP,66,03/16/2022 12:00:00 AM
