2022-02-18T16-04-21,53226,FROEDTERT MEMORIAL HOSP - COVID,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,53226,FROEDTERT MEMORIAL HOSP - COVID,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,53226,FROEDTERT MEMORIAL HOSP - COVID,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,53226,FROEDTERT MEMORIAL HOSP - COVID,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,53226,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,NLP,NLP,NLP,177,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,53226,CHILDRENS HOSPITAL OF WISCONSIN,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,53226,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,NLP,NLP,NLP,177,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,53226,CHILDRENS HOSPITAL OF WISCONSIN,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,53226,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,NLP,NLP,NLP,177,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,53226,CHILDRENS HOSPITAL OF WISCONSIN,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,53226,CHILDRENS HOSPITAL OF WISCONSIN,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,53226,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,53226,CHILDRENS HOSPITAL OF WISCONSIN,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,53226,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,53226,CHILDRENS HOSPITAL OF WISCONSIN,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,53226,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,53226,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,53226,CHILDRENS HOSPITAL OF WISCONSIN,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,53226,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,53226,CHILDRENS HOSPITAL OF WISCONSIN,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
