2022-02-18T16-04-21,53546,ST MARYS JANESVILLE HOSPITAL,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,53546,ST MARYS JANESVILLE HOSPITAL,02/21/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,53546,ST MARYS JANESVILLE HOSPITAL,02/21/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,53546,ST MARYS JANESVILLE HOSPITAL,02/21/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,53546,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
