2022-02-18T16-04-21,54024,SCRMC ST CROIX REGIONAL MEDICAL CTR,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,54024,SCRMC ST CROIX REGIONAL MEDICAL CTR,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,54024,SCRMC ST CROIX REGIONAL MEDICAL CTR,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,54024,SCRMC ST CROIX REGIONAL MEDICAL CTR,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,54024,ST CROIX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
