2022-02-18T16-04-21,55404,CHILDRENS MN-MINNEAPOLIS,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,55404,CHILDRENS MN-MINNEAPOLIS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,55404,CHILDRENS MN-MINNEAPOLIS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,55404,CHILDRENS MN-MINNEAPOLIS,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,18,,
2022-03-18T11-17-38,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,55404,CHILDREN'S HOSPITALS & CLINICS OF MN,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
