2022-02-18T16-04-21,56501,ESSENTIA HEALTH DETROIT LAKES,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,56501,ESSENTIA HEALTH DETROIT LAKES,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-03T10-04-44,56501,ESSENTIA HEALTH DETROIT LAKES,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-08T14-40-56,56501,ESSENTIA HEALTH DETROIT LAKES,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,114,,
2022-03-16T18-51-35,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,130,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,130,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,130,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,56501,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
