2022-02-18T16-04-21,63139,ST LOUIS FORENSIC TREATMENT CTR,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,63139,ST LOUIS FORENSIC TREATMENT CTR,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,63139,ST LOUIS FORENSIC TREATMENT CTR,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,63139,ST LOUIS FORENSIC TREATMENT CTR,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-18T09-58-11,63139,ST LOUIS FORENSIC TREATMENT CENTER,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,63139,ST LOUIS FORENSIC TREATMENT CENTER,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,63139,ST LOUIS FORENSIC TREATMENT CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63139,ST LOUIS FORENSIC TREATMENT CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63139,ST LOUIS FORENSIC TREATMENT CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63139,ST LOUIS FORENSIC TREATMENT CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63139,ST LOUIS FORENSIC TREATMENT CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,63139,ST LOUIS FORENSIC TREATMENT CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
