2022-02-18T16-04-21,64132,RESEARCH MEDICAL CENTER,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,64132,RESEARCH MEDICAL CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,64132,RESEARCH MEDICAL CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,64132,RESEARCH MEDICAL CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,64132,RESEARCH MEDICAL CENTER,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,64132,RESEARCH MEDICAL CENTER,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,64132,RESEARCH MEDICAL CENTER,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,64132,RESEARCH MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,64132,RESEARCH MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,64132,RESEARCH MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,64132,RESEARCH MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
