2022-02-18T16-04-21,66219,University of Kansas Hospital,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,66219,University of Kansas Hospital,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,66219,University of Kansas Hospital,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,66219,University of Kansas Hospital,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,66219,PHARMSCRIPT OF KS LLC,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,66219,PHARMSCRIPT OF KS LLC,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,66219,PHARMSCRIPT OF KS LLC,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,66219,PHARMSCRIPT OF KS LLC,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,66219,PHARMSCRIPT OF KS LLC,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,66219,PHARMSCRIPT OF KS LLC,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,66219,PHARMSCRIPT OF KS LLC,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
