2022-02-18T16-04-21,67124,PRATT REG MED CNTR (9156) PHL7,02/14/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,67124,PRATT REG MED CNTR (9156) PHL7,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,67124,PRATT REG MED CNTR (9156) PHL7,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,67124,PRATT REG MED CNTR (9156) PHL7,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,67124,PRATT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,67124,PRATT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,67124,PRATT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,67124,PRATT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,67124,PRATT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,67124,PRATT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,67124,PRATT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,67124,PRATT REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
