2022-02-18T16-04-21,68763,AVERA ST. ANTHONYS HOSPITAL,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,68763,AVERA ST. ANTHONYS HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,68763,AVERA ST. ANTHONYS HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,68763,AVERA ST. ANTHONYS HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-23T08-41-43,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,68763,AVERA ST ANTHONY'S HOSPITAL,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
