2022-02-18T16-04-21,70121,OCHSNER MEDCIAL CENTER-JEFFERSON HI,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,70121,OCHSNER MEDCIAL CENTER-JEFFERSON HI,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-03T10-04-44,70121,OCHSNER MEDCIAL CENTER-JEFFERSON HI,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,70121,OCHSNER MEDCIAL CENTER-JEFFERSON HI,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,96,,
2022-03-16T18-51-35,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,87,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,70121,OCHSNER MEDICAL CENTER,NLP,NLP,NLP,290,03/23/2022 12:00:00 AM
