2022-02-18T16-04-21,71457,NATCHITOCHES REGIONAL MEDICAL CENTE,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,71457,NATCHITOCHES REGIONAL MEDICAL CENTE,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,71457,NATCHITOCHES REGIONAL MEDICAL CENTE,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,71457,NATCHITOCHES REGIONAL MEDICAL CENTE,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,71457,NATCHITOCHES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,4,03/16/2022 12:00:00 AM
